2025-04-24 10:58:04.205 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.8ms, Max Diff: 43.5ms, Min Diff: 0.0ms
2025-04-24 10:58:09.335 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.7ms, Max Diff: 47.2ms, Min Diff: 0.0ms
2025-04-24 10:58:14.544 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.0ms, Max Diff: 47.2ms, Min Diff: 0.1ms
2025-04-24 10:58:19.669 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 47.2ms, Min Diff: 0.0ms
2025-04-24 10:58:24.825 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.2ms, Max Diff: 47.2ms, Min Diff: 0.0ms
2025-04-24 10:58:29.991 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.6ms, Max Diff: 45.6ms, Min Diff: 0.0ms
2025-04-24 10:58:35.005 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.8ms, Max Diff: 43.6ms, Min Diff: 0.0ms
2025-04-24 10:58:40.157 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.7ms, Max Diff: 43.6ms, Min Diff: 0.0ms
2025-04-24 10:58:45.351 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.1ms, Max Diff: 43.6ms, Min Diff: 0.2ms
2025-04-24 10:58:50.510 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.6ms, Max Diff: 43.6ms, Min Diff: 0.2ms
2025-04-24 10:58:55.676 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.9ms, Max Diff: 36.0ms, Min Diff: 0.2ms
2025-04-24 10:59:00.777 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.4ms, Max Diff: 40.0ms, Min Diff: 0.3ms
2025-04-24 10:59:05.796 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:10.975 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:16.158 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:21.341 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:26.530 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:31.541 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:36.727 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:41.913 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:46.951 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:51.958 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 10:59:56.970 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 11:00:02.004 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 11:00:07.011 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 11:00:12.027 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 11:00:17.209 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 40.0ms, Min Diff: 0.6ms
2025-04-24 11:00:22.351 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.2ms, Max Diff: 41.5ms, Min Diff: 0.6ms
