2025-04-24 11:03:51.297 - INFO - sensor [/livox/imu] - IMU stats: rate=241.41Hz, interval=5.6ms, dropped=9444
2025-04-24 11:03:51.300 - INFO - sensor [/livox/imu] - IMU stats: rate=240.26Hz, interval=5.6ms, dropped=9444
2025-04-24 11:03:51.302 - INFO - sensor [/livox/imu] - IMU stats: rate=239.63Hz, interval=5.5ms, dropped=9444
2025-04-24 11:03:51.303 - INFO - sensor [/livox/imu] - IMU stats: rate=239.24Hz, interval=5.5ms, dropped=9444
2025-04-24 11:03:51.305 - INFO - sensor [/livox/imu] - IMU stats: rate=242.24Hz, interval=5.5ms, dropped=9444
2025-04-24 11:03:51.306 - INFO - sensor [/livox/imu] - IMU stats: rate=246.81Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.307 - INFO - sensor [/livox/imu] - IMU stats: rate=251.71Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.309 - INFO - sensor [/livox/imu] - IMU stats: rate=256.85Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.310 - INFO - sensor [/livox/imu] - IMU stats: rate=262.05Hz, interval=5.3ms, dropped=9444
2025-04-24 11:03:51.312 - INFO - sensor [/livox/imu] - IMU stats: rate=266.90Hz, interval=5.3ms, dropped=9444
2025-04-24 11:03:51.313 - INFO - sensor [/livox/imu] - IMU stats: rate=271.79Hz, interval=5.2ms, dropped=9444
2025-04-24 11:03:51.315 - INFO - sensor [/livox/imu] - IMU stats: rate=276.90Hz, interval=5.2ms, dropped=9444
2025-04-24 11:03:51.316 - INFO - sensor [/livox/imu] - IMU stats: rate=282.34Hz, interval=5.1ms, dropped=9444
2025-04-24 11:03:51.318 - INFO - sensor [/livox/imu] - IMU stats: rate=288.07Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.319 - INFO - sensor [/livox/imu] - IMU stats: rate=293.63Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.320 - INFO - sensor [/livox/imu] - IMU stats: rate=298.87Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.322 - INFO - sensor [/livox/imu] - IMU stats: rate=303.31Hz, interval=4.9ms, dropped=9444
2025-04-24 11:03:51.324 - INFO - sensor [/livox/imu] - IMU stats: rate=306.93Hz, interval=4.9ms, dropped=9444
2025-04-24 11:03:51.328 - INFO - sensor [/livox/imu] - IMU stats: rate=308.89Hz, interval=4.9ms, dropped=9444
2025-04-24 11:03:51.332 - INFO - sensor [/livox/imu] - IMU stats: rate=310.12Hz, interval=4.9ms, dropped=9444
2025-04-24 11:03:51.338 - INFO - sensor [/livox/imu] - IMU stats: rate=309.96Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.342 - INFO - sensor [/livox/imu] - IMU stats: rate=309.52Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.347 - INFO - sensor [/livox/imu] - IMU stats: rate=309.23Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.352 - INFO - sensor [/livox/imu] - IMU stats: rate=308.51Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.358 - INFO - sensor [/livox/imu] - IMU stats: rate=307.91Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.362 - INFO - sensor [/livox/imu] - IMU stats: rate=307.60Hz, interval=5.0ms, dropped=9444
2025-04-24 11:03:51.368 - INFO - sensor [/livox/imu] - IMU stats: rate=307.18Hz, interval=5.0ms, dropped=9444
